t     A     B     C     waiting
318   92    4     30    23
319   91    3     29    23
320   90    2     28    23
321   89    1     27    23
322   88    65    26    22
323   87    64    25    22
324   86    63    24    23
325   85    62    23    23
326   84    61    22    23
327   83    60    21    23
328   82    59    20    23
329   81    58    19    23
330   80    57    18    23
331   79    56    17    23
332   78    55    16    23
333   77    54    15    23
334   76    53    14    23
335   75    52    13    23
336   74    51    12    23
337   73    50    11    23
338   72    49    10    23
339   71    48    9     24
340   70    47    8     24
341   69    46    7     24
342   68    45    6     24
343   67    44    5     24
344   66    43    4     24
345   65    42    3     24
346   64    41    2     24
347   63    40    1     24
348   62    39    72    24
349   61    38    71    24
350   60    37    70    24
351   59    36    69    24
352   58    35    68    24
353   57    34    67    24
354   56    33    66    24
355   55    32    65    24
356   54    31    64    24
357   53    30    63    24
358   52    29    62    24
359   51    28    61    24
360   50    27    60    25
361   49    26    59    25
362   48    25    58    25
363   47    24    57    25
364   46    23    56    25
365   45    22    55    25
366   44    21    54    25
367   43    20    53    25
368   42    19    52    26
369   41    18    51    26
370   40    17    50    26
371   39    16    49    26
372   38    15    48    26
373   37    14    47    26
374   36    13    46    26
375   35    12    45    26
376   34    11    44    26
377   33    10    43    26
378   32    9     42    26
379   31    8     41    26
380   30    7     40    26
381   29    6     39    26
382   28    5     38    27
383   27    4     37    27
384   26    3     36    27
385   25    2     35    27
386   24    1     34    27
387   23    112   33    26
388   22    111   32    26
389   21    110   31    27
390   20    109   30    27
391   19    108   29    27
392   18    107   28    27
393   17    106   27    27
394   16    105   26    27
395   15    104   25    27
396   14    103   24    28
397   13    102   23    28
398   12    101   22    28
399   11    100   21    28
400   10    99    20    28
401   9     98    19    28
402   8     97    18    29
403   7     96    17    29
404   6     95    16    29
405   5     94    15    29
406   4     93    14    29
407   3     92    13    29
408   2     91    12    29
409   1     90    11    29
410   76    89    10    28
411   75    88    9     28
412   74    87    8     28
413   73    86    7     28
414   72    85    6     28
415   71    84    5     28
416   70    83    4     28
417   69    82    3     28
418   68    81    2     29
419   67    80    1     29
420   66    79    77    28
421   65    78    76    28
422   64    77    75    28
423   63    76    74    28
424   62    75    73    28
425   61    74    72    28
426   60    73    71    28
427   59    72    70    28
428   58    71    69    28
429   57    70    68    28
430   56    69    67    28
431   55    68    66    28
432   54    67    65    28
433   53    66    64    28
434   52    65    63    28
435   51    64    62    28
436   50    63    61    28
437   49    62    60    28
438   48    61    59    28
439   47    60    58    28
440   46    59    57    28
441   45    58    56    28
442   44    57    55    28
443   43    56    54    28
444   42    55    53    28
445   41    54    52    28
446   40    53    51    28
447   39    52    50    28
448   38    51    49    28
449   37    50    48    28
450   36    49    47    28
451   35    48    46    28
452   34    47    45    28
453   33    46    44    28
454   32    45    43    28
455   31    44    42    28
456   30    43    41    28
457   29    42    40    28
458   28    41    39    28
459   27    40    38    28
460   26    39    37    28
461   25    38    36    28
462   24    37    35    28
463   23    36    34    28
464   22    35    33    28
465   21    34    32    28
466   20    33    31    28
467   19    32    30    28
468   18    31    29    28
469   17    30    28    28
470   16    29    27    28
471   15    28    26    28
472   14    27    25    28
473   13    26    24    28
474   12    25    23    28
475   11    24    22    28
476   10    23    21    28
477   9     22    20    28
478   8     21    19    28
479   7     20    18    28
480   6     19    17    28
481   5     18    16    28
482   4     17    15    28
483   3     16    14    28
484   2     15    13    28
485   1     14    12    28
486   61    13    11    27
487   60    12    10    27
488   59    11    9     27
489   58    10    8     27
490   57    9     7     27
491   56    8     6     27
492   55    7     5     27
493   54    6     4     27
494   53    5     3     27
495   52    4     2     27
496   51    3     1     27
497   50    2     93    26
498   49    1     92    26
499   48    59    91    25
500   47    58    90    25
501   46    57    89    25
502   45    56    88    25
503   44    55    87    25
504   43    54    86    25
505   42    53    85    25
506   41    52    84    25
507   40    51    83    25
508   39    50    82    25
509   38    49    81    25
510   37    48    80    25
511   36    47    79    25
512   35    46    78    25
513   34    45    77    25
514   33    44    76    25
515   32    43    75    25
516   31    42    74    25
517   30    41    73    25
518   29    40    72    25
519   28    39    71    25
520   27    38    70    25
521   26    37    69    25
522   25    36    68    25
523   24    35    67    25
524   23    34    66    25
525   22    33    65    25
526   21    32    64    25
527   20    31    63    25
528   19    30    62    25
529   18    29    61    25
530   17    28    60    25
531   16    27    59    25
532   15    26    58    25
533   14    25    57    25
534   13    24    56    25
535   12    23    55    25
536   11    22    54    25
537   10    21    53    25
538   9     20    52    25
539   8     19    51    25
540   7     18    50    25
541   6     17    49    25
542   5     16    48    25
543   4     15    47    25
544   3     14    46    25
545   2     13    45    25
546   1     12    44    25
547   82    11    43    24
548   81    10    42    24
549   80    9     41    24
550   79    8     40    24
551   78    7     39    24
552   77    6     38    24
553   76    5     37    24
554   75    4     36    24
555   74    3     35    24
556   73    2     34    24
557   72    1     33    24
558   71    52    32    23
559   70    51    31    23
560   69    50    30    23
561   68    49    29    23
562   67    48    28    23
563   66    47    27    23
564   65    46    26    23
565   64    45    25    23
566   63    44    24    23
567   62    43    23    23
568   61    42    22    23
569   60    41    21    23
570   59    40    20    23
571   58    39    19    23
572   57    38    18    23
573   56    37    17    23
574   55    36    16    23
575   54    35    15    23
576   53    34    14    23
577   52    33    13    23
578   51    32    12    23
579   50    31    11    23
580   49    30    10    23
581   48    29    9     23
582   47    28    8     23
583   46    27    7     23
584   45    26    6     23
585   44    25    5     23
586   43    24    4     23
587   42    23    3     23
588   41    22    2     23
589   40    21    1     23
590   39    20    55    22
591   38    19    54    22
592   37    18    53    22
593   36    17    52    22
594   35    16    51    22
595   34    15    50    22
596   33    14    49    22
597   32    13    48    22
598   31    12    47    22
599   30    11    46    22
600   29    10    45    22
601   28    9     44    22
602   27    8     43    22
603   26    7     42    22
604   25    6     41    22
605   24    5     40    22
606   23    4     39    22
607   22    3     38    22
608   21    2     37    22
609   20    1     36    22
610   19    89    35    21
611   18    88    34    21
612   17    87    33    21
613   16    86    32    21
614   15    85    31    21
615   14    84    30    21
616   13    83    29    21
617   12    82    28    21
618   11    81    27    21
619   10    80    26    21
620   9     79    25    21
621   8     78    24    21
622   7     77    23    21
623   6     76    22    21
624   5     75    21    21
625   4     74    20    21
626   3     73    19    21
627   2     72    18    21
628   1     71    17    21
629   62    70    16    20
630   61    69    15    20
631   60    68    14    20
632   59    67    13    20
633   58    66    12    20
634   57    65    11    20
635   56    64    10    20
636   55    63    9     20
637   54    62    8     20
638   53    61    7     20
639   52    60    6     20
640   51    59    5     20
641   50    58    4     20
642   49    57    3     20
643   48    56    2     20
644   47    55    1     20
645   46    54    118   19
646   45    53    117   19
647   44    52    116   19
648   43    51    115   19
649   42    50    114   19
650   41    49    113   19
651   40    48    112   19
652   39    47    111   19
653   38    46    110   19
654   37    45    109   19
655   36    44    108   19
656   35    43    107   19
657   34    42    106   19
658   33    41    105   19
659   32    40    104   19
660   31    39    103   19
661   30    38    102   19
662   29    37    101   19
663   28    36    100   19
664   27    35    99    19
665   26    34    98    19
666   25    33    97    19
667   24    32    96    19
668   23    31    95    19
669   22    30    94    19
670   21    29    93    19
671   20    28    92    19
672   19    27    91    19
673   18    26    90    19
674   17    25    89    19
675   16    24    88    19
676   15    23    87    19
677   14    22    86    19
678   13    21    85    19
679   12    20    84    19
680   11    19    83    19
681   10    18    82    19
682   9     17    81    19
683   8     16    80    19
684   7     15    79    19
685   6     14    78    19
686   5     13    77    19
687   4     12    76    19
688   3     11    75    19
689   2     10    74    19
690   1     9     73    19
691   106   8     72    18
692   105   7     71    18
693   104   6     70    18
694   103   5     69    18
695   102   4     68    18
696   101   3     67    18
697   100   2     66    18
698   99    1     65    18
699   98    105   64    17
700   97    104   63    17
701   96    103   62    17
702   95    102   61    17
703   94    101   60    17
704   93    100   59    17
705   92    99    58    17
706   91    98    57    17
707   90    97    56    17
708   89    96    55    17
709   88    95    54    17
710   87    94    53    17
711   86    93    52    17
712   85    92    51    17
713   84    91    50    17
714   83    90    49    17
715   82    89    48    17
716   81    88    47    17
717   80    87    46    17
718   79    86    45    17
719   78    85    44    17
720   77    84    43    17
721   76    83    42    17
722   75    82    41    17
723   74    81    40    17
724   73    80    39    17
725   72    79    38    17
726   71    78    37    17
727   70    77    36    17
728   69    76    35    17
729   68    75    34    17
730   67    74    33    17
731   66    73    32    17
732   65    72    31    17
733   64    71    30    17
734   63    70    29    17
735   62    69    28    17
736   61    68    27    17
737   60    67    26    17
738   59    66    25    17
739   58    65    24    17
740   57    64    23    17
741   56    63    22    17
742   55    62    21    17
743   54    61    20    17
744   53    60    19    17
745   52    59    18    17
746   51    58    17    17
747   50    57    16    17
748   49    56    15    17
749   48    55    14    17
750   47    54    13    17
751   46    53    12    17
752   45    52    11    17
753   44    51    10    17
754   43    50    9     17
755   42    49    8     17
756   41    48    7     17
757   40    47    6     17
758   39    46    5     17
759   38    45    4     17
760   37    44    3     17
761   36    43    2     17
762   35    42    1     17
763   34    41    101   16
764   33    40    100   16
765   32    39    99    16
766   31    38    98    16
767   30    37    97    16
768   29    36    96    16
769   28    35    95    16
770   27    34    94    16
771   26    33    93    16
772   25    32    92    16
773   24    31    91    16
774   23    30    90    16
775   22    29    89    16
776   21    28    88    16
777   20    27    87    16
778   19    26    86    16
779   18    25    85    16
780   17    24    84    16
781   16    23    83    16
782   15    22    82    16
783   14    21    81    16
784   13    20    80    16
785   12    19    79    16
786   11    18    78    16
787   10    17    77    16
788   9     16    76    16
789   8     15    75    16
790   7     14    74    16
791   6     13    73    16
792   5     12    72    16
793   4     11    71    16
794   3     10    70    16
795   2     9     69    16
796   1     8     68    16
797   54    7     67    15
798   53    6     66    15
799   52    5     65    15
800   51    4     64    15
801   50    3     63    15
802   49    2     62    15
803   48    1     61    15
804   47    62    60    14
805   46    61    59    14
806   45    60    58    14
807   44    59    57    14
808   43    58    56    14
809   42    57    55    14
810   41    56    54    14
811   40    55    53    14
812   39    54    52    14
813   38    53    51    14
814   37    52    50    14
815   36    51    49    14
816   35    50    48    14
817   34    49    47    14
818   33    48    46    14
819   32    47    45    14
820   31    46    44    14
821   30    45    43    14
822   29    44    42    14
823   28    43    41    14
824   27    42    40    14
825   26    41    39    14
826   25    40    38    14
827   24    39    37    14
828   23    38    36    14
829   22    37    35    14
830   21    36    34    14
831   20    35    33    14
832   19    34    32    14
833   18    33    31    14
834   17    32    30    14
835   16    31    29    14
836   15    30    28    14
837   14    29    27    14
838   13    28    26    14
839   12    27    25    14
840   11    26    24    14
841   10    25    23    14
842   9     24    22    14
843   8     23    21    14
844   7     22    20    14
845   6     21    19    14
846   5     20    18    14
847   4     19    17    14
848   3     18    16    14
849   2     17    15    14
850   1     16    14    14
851   53    15    13    13
852   52    14    12    13
853   51    13    11    13
854   50    12    10    13
855   49    11    9     13
856   48    10    8     13
857   47    9     7     13
858   46    8     6     13
859   45    7     5     13
860   44    6     4     13
861   43    5     3     13
862   42    4     2     13
863   41    3     1     13
864   40    2     71    12
865   39    1     70    12
866   38    57    69    11
867   37    56    68    11
868   36    55    67    11
869   35    54    66    11
870   34    53    65    11
871   33    52    64    11
872   32    51    63    11
873   31    50    62    11
874   30    49    61    11
875   29    48    60    11
876   28    47    59    11
877   27    46    58    11
878   26    45    57    11
879   25    44    56    11
880   24    43    55    11
881   23    42    54    11
882   22    41    53    11
883   21    40    52    11
884   20    39    51    11
885   19    38    50    11
886   18    37    49    11
887   17    36    48    11
888   16    35    47    11
889   15    34    46    11
890   14    33    45    11
891   13    32    44    11
892   12    31    43    11
893   11    30    42    11
894   10    29    41    11
895   9     28    40    11
896   8     27    39    11
897   7     26    38    11
898   6     25    37    11
899   5     24    36    11
900   4     23    35    11
901   3     22    34    11
902   2     21    33    11
903   1     20    32    11
904   90    19    31    10
905   89    18    30    10
906   88    17    29    10
907   87    16    28    10
908   86    15    27    10
909   85    14    26    10
910   84    13    25    10
911   83    12    24    10
912   82    11    23    10
913   81    10    22    10
914   80    9     21    10
915   79    8     20    10
916   78    7     19    10
917   77    6     18    10
918   76    5     17    10
919   75    4     16    10
920   74    3     15    10
921   73    2     14    10
922   72    1     13    10
923   71    115   12    9
924   70    114   11    9
925   69    113   10    9
926   68    112   9     9
927   67    111   8     9
928   66    110   7     9
929   65    109   6     9
930   64    108   5     9
931   63    107   4     9
932   62    106   3     9
933   61    105   2     9
934   60    104   1     9
935   59    103   90    8
936   58    102   89    8
937   57    101   88    8
938   56    100   87    8
939   55    99    86    8
940   54    98    85    8
941   53    97    84    8
942   52    96    83    8
943   51    95    82    8
944   50    94    81    8
945   49    93    80    8
946   48    92    79    8
947   47    91    78    8
948   46    90    77    8
949   45    89    76    8
950   44    88    75    8
951   43    87    74    8
952   42    86    73    8
953   41    85    72    8
954   40    84    71    8
955   39    83    70    8
956   38    82    69    8
957   37    81    68    8
958   36    80    67    8
959   35    79    66    8
960   34    78    65    8
961   33    77    64    8
962   32    76    63    8
963   31    75    62    8
964   30    74    61    8
965   29    73    60    8
966   28    72    59    8
